SLAVE_ID,GROUP_ID,FLOW_VALUE,DIGITAL_INPUT,DATE,TIME
3-,3G,0000.00,0,07/11/2020,00:14:17
2-,3G,0003.31,0,07/11/2020,00:14:19
4-,3G,0003.33,0,07/11/2020,00:14:23
3-,3G,0002.66,0,07/11/2020,00:14:26
2-,3G,0000.00,0,07/11/2020,00:14:28
4-,3G,0000.00,0,07/11/2020,00:14:32
3-,3G,0003.29,0,07/11/2020,00:14:35
2-,3G,0000.00,0,07/11/2020,00:14:37
4-,3G,0000.00,0,07/11/2020,00:14:41
3-,3G,0000.00,0,07/11/2020,00:14:44
2-,3G,0003.24,0,07/11/2020,00:14:46
4-,3G,0001.76,0,07/11/2020,00:14:50
3-,3G,0000.00,0,07/11/2020,00:14:53
2-,3G,0003.31,0,07/11/2020,00:14:55
4-,3G,0003.31,0,07/11/2020,00:14:59
3-,3G,0002.77,0,07/11/2020,00:15:02
2-,3G,0000.00,0,07/11/2020,00:15:04
4-,3G,0000.00,0,07/11/2020,00:15:08
3-,3G,0003.33,0,07/11/2020,00:15:11
2-,3G,0000.00,0,07/11/2020,00:15:13
4-,3G,0000.00,0,07/11/2020,00:15:17
3-,3G,0000.00,0,07/11/2020,00:15:20
2-,3G,0003.24,0,07/11/2020,00:15:22
4-,3G,0001.76,0,07/11/2020,00:15:26
3-,3G,0000.00,0,07/11/2020,00:15:29
2-,3G,0003.33,0,07/11/2020,00:15:31
4-,3G,0003.33,0,07/11/2020,00:15:35
3-,3G,0002.70,0,07/11/2020,00:15:38
2-,3G,0000.00,0,07/11/2020,00:15:40
4-,3G,0000.00,0,07/11/2020,00:15:44
3-,3G,0003.26,0,07/11/2020,00:15:47
2-,3G,0000.00,0,07/11/2020,00:15:49
4-,3G,0000.00,0,07/11/2020,00:15:53
3-,3G,0000.00,0,07/11/2020,00:15:56
2-,3G,0003.24,0,07/11/2020,00:15:58
4-,3G,0001.82,0,07/11/2020,00:16:02
3-,3G,0000.00,0,07/11/2020,00:16:05
2-,3G,0003.35,0,07/11/2020,00:16:07
4-,3G,0003.33,0,07/11/2020,00:16:11
3-,3G,0002.75,0,07/11/2020,00:16:14
2-,3G,0000.00,0,07/11/2020,00:16:16
4-,3G,0000.00,0,07/11/2020,00:16:20
3-,3G,0003.29,0,07/11/2020,00:16:23
2-,3G,0000.00,0,07/11/2020,00:16:25
4-,3G,0000.00,0,07/11/2020,00:16:29
3-,3G,0000.00,0,07/11/2020,00:16:32
2-,3G,0003.26,0,07/11/2020,00:16:34
4-,3G,0001.84,0,07/11/2020,00:16:38
3-,3G,0000.00,0,07/11/2020,00:16:41
2-,3G,0003.29,0,07/11/2020,00:16:43
4-,3G,0003.33,0,07/11/2020,00:16:47
3-,3G,0002.75,0,07/11/2020,00:16:50
2-,3G,0000.00,0,07/11/2020,00:16:52
4-,3G,0000.00,0,07/11/2020,00:16:56
3-,3G,0003.29,0,07/11/2020,00:16:59
2-,3G,0000.00,0,07/11/2020,00:17:01
4-,3G,0000.00,0,07/11/2020,00:17:05
3-,3G,0000.00,0,07/11/2020,00:17:08
2-,3G,0003.26,0,07/11/2020,00:17:10
4-,3G,0002.04,0,07/11/2020,00:17:14
3-,3G,0000.00,0,07/11/2020,00:17:17
2-,3G,0003.29,0,07/11/2020,00:17:19
4-,3G,0003.33,0,07/11/2020,00:17:23
3-,3G,0002.75,0,07/11/2020,00:17:26
2-,3G,0000.00,0,07/11/2020,00:17:28
4-,3G,0000.00,0,07/11/2020,00:17:32
3-,3G,0003.26,0,07/11/2020,00:17:35
2-,3G,0000.00,0,07/11/2020,00:17:37
4-,3G,0000.00,0,07/11/2020,00:17:41
3-,3G,0000.00,0,07/11/2020,00:17:44
2-,3G,0003.29,0,07/11/2020,00:17:46
4-,3G,0001.84,0,07/11/2020,00:17:50
3-,3G,0000.00,0,07/11/2020,00:17:53
2-,3G,0003.35,0,07/11/2020,00:17:55
4-,3G,0003.31,0,07/11/2020,00:17:59
3-,3G,0002.77,0,07/11/2020,00:18:02
2-,3G,0000.00,0,07/11/2020,00:18:04
4-,3G,0000.00,0,07/11/2020,00:18:08
3-,3G,0003.29,0,07/11/2020,00:18:11
2-,3G,0000.00,0,07/11/2020,00:18:13
4-,3G,0000.00,0,07/11/2020,00:18:17
3-,3G,0000.00,0,07/11/2020,00:18:20
2-,3G,0003.41,0,07/11/2020,00:18:22
4-,3G,0002.15,0,07/11/2020,00:18:26
3-,3G,0000.00,0,07/11/2020,00:18:29
2-,3G,0003.35,0,07/11/2020,00:18:31
4-,3G,0003.29,0,07/11/2020,00:18:35
3-,3G,0002.73,0,07/11/2020,00:18:38
2-,3G,0000.00,0,07/11/2020,00:18:40
4-,3G,0000.00,0,07/11/2020,00:18:44
3-,3G,0003.29,0,07/11/2020,00:18:47
2-,3G,0000.00,0,07/11/2020,00:18:49
4-,3G,0000.00,0,07/11/2020,00:18:53
3-,3G,0000.00,0,07/11/2020,00:18:56
2-,3G,0003.41,0,07/11/2020,00:18:58
4-,3G,0002.34,0,07/11/2020,00:19:02
3-,3G,0000.00,0,07/11/2020,00:19:05
2-,3G,0003.35,0,07/11/2020,00:19:07
4-,3G,0003.26,0,07/11/2020,00:19:11
3-,3G,0002.70,0,07/11/2020,00:19:14
2-,3G,0000.00,0,07/11/2020,00:19:16
4-,3G,0000.00,0,07/11/2020,00:19:20
3-,3G,0003.29,0,07/11/2020,00:19:23
2-,3G,0000.00,0,07/11/2020,00:19:25
4-,3G,0000.00,0,07/11/2020,00:19:29
3-,3G,0000.00,0,07/11/2020,00:19:32
2-,3G,0003.26,0,07/11/2020,00:19:34
4-,3G,0002.32,0,07/11/2020,00:19:38
3-,3G,0000.00,0,07/11/2020,00:19:41
2-,3G,0003.31,0,07/11/2020,00:19:43
4-,3G,0003.33,0,07/11/2020,00:19:47
3-,3G,0002.73,0,07/11/2020,00:19:50
2-,3G,0000.00,0,07/11/2020,00:19:52
4-,3G,0000.00,0,07/11/2020,00:19:56
3-,3G,0003.29,0,07/11/2020,00:19:59
2-,3G,0000.00,0,07/11/2020,00:20:01
4-,3G,0000.00,0,07/11/2020,00:20:05
3-,3G,0000.00,0,07/11/2020,00:20:08
2-,3G,0003.24,0,07/11/2020,00:20:10
4-,3G,0002.32,0,07/11/2020,00:20:14
3-,3G,0000.00,0,07/11/2020,00:20:17
2-,3G,0003.26,0,07/11/2020,00:20:19
4-,3G,0003.33,0,07/11/2020,00:20:23
3-,3G,0002.70,0,07/11/2020,00:20:26
2-,3G,0000.00,0,07/11/2020,00:20:28
4-,3G,0000.00,0,07/11/2020,00:20:32
3-,3G,0003.31,0,07/11/2020,00:20:35
2-,3G,0000.00,0,07/11/2020,00:20:37
4-,3G,0000.00,0,07/11/2020,00:20:41
3-,3G,0000.00,0,07/11/2020,00:20:44
2-,3G,0003.41,0,07/11/2020,00:20:46
4-,3G,0002.36,0,07/11/2020,00:20:50
3-,3G,0000.00,0,07/11/2020,00:20:53
2-,3G,0003.22,0,07/11/2020,00:20:55
4-,3G,0003.33,0,07/11/2020,00:20:59
3-,3G,0002.70,0,07/11/2020,00:21:02
2-,3G,0000.00,0,07/11/2020,00:21:04
4-,3G,0000.00,0,07/11/2020,00:21:08
3-,3G,0003.29,0,07/11/2020,00:21:11
2-,3G,0000.00,0,07/11/2020,00:21:13
4-,3G,0000.00,0,07/11/2020,00:21:17
3-,3G,0000.00,0,07/11/2020,00:21:20
2-,3G,0003.24,0,07/11/2020,00:21:22
4-,3G,0002.30,0,07/11/2020,00:21:26
3-,3G,0000.00,0,07/11/2020,00:21:29
2-,3G,0003.16,0,07/11/2020,00:21:31
4-,3G,0003.33,0,07/11/2020,00:21:35
3-,3G,0002.70,0,07/11/2020,00:21:38
2-,3G,0000.00,0,07/11/2020,00:21:40
4-,3G,0000.00,0,07/11/2020,00:21:44
3-,3G,0003.26,0,07/11/2020,00:21:47
2-,3G,0000.00,0,07/11/2020,00:21:49
4-,3G,0000.00,0,07/11/2020,00:21:53
3-,3G,0000.00,0,07/11/2020,00:21:56
2-,3G,0003.44,0,07/11/2020,00:21:58
4-,3G,0002.36,0,07/11/2020,00:22:02
3-,3G,0000.00,0,07/11/2020,00:22:05
2-,3G,0003.44,0,07/11/2020,00:22:06
4-,3G,0003.31,0,07/11/2020,00:22:11
3-,3G,0002.75,0,07/11/2020,00:22:14
2-,3G,no_data,no_data,07/11/2020,00:22:15
4-,3G,0000.00,0,07/11/2020,00:22:20
3-,3G,0003.31,0,07/11/2020,00:22:23
2-,3G,0000.00,0,07/11/2020,00:22:25
4-,3G,0000.00,0,07/11/2020,00:22:29
3-,3G,0000.00,0,07/11/2020,00:22:32
2-,3G,0003.26,0,07/11/2020,00:22:34
4-,3G,0002.30,0,07/11/2020,00:22:38
3-,3G,0000.00,0,07/11/2020,00:22:41
2-,3G,0003.11,0,07/11/2020,00:22:43
4-,3G,0003.31,0,07/11/2020,00:22:47
3-,3G,0002.81,0,07/11/2020,00:22:50
2-,3G,0000.00,0,07/11/2020,00:22:52
4-,3G,0000.00,0,07/11/2020,00:22:56
3-,3G,0003.29,0,07/11/2020,00:22:59
2-,3G,0000.00,0,07/11/2020,00:23:01
4-,3G,0000.00,0,07/11/2020,00:23:05
3-,3G,0000.00,0,07/11/2020,00:23:08
2-,3G,0003.33,0,07/11/2020,00:23:10
4-,3G,0002.30,0,07/11/2020,00:23:14
3-,3G,0000.00,0,07/11/2020,00:23:17
2-,3G,0003.05,0,07/11/2020,00:23:19
4-,3G,0003.33,0,07/11/2020,00:23:23
3-,3G,0002.75,0,07/11/2020,00:23:26
2-,3G,0000.00,0,07/11/2020,00:23:28
4-,3G,0000.00,0,07/11/2020,00:23:32
3-,3G,0003.29,0,07/11/2020,00:23:35
2-,3G,0000.00,0,07/11/2020,00:23:37
4-,3G,0000.00,0,07/11/2020,00:23:41
3-,3G,0000.00,0,07/11/2020,00:23:44
2-,3G,0003.41,0,07/11/2020,00:23:46
4-,3G,0002.25,0,07/11/2020,00:23:50
3-,3G,0000.00,0,07/11/2020,00:23:53
2-,3G,0003.05,0,07/11/2020,00:23:55
4-,3G,0003.31,0,07/11/2020,00:23:59
3-,3G,0002.70,0,07/11/2020,00:24:02
2-,3G,0000.00,0,07/11/2020,00:24:04
4-,3G,0000.00,0,07/11/2020,00:24:09
3-,3G,0003.29,0,07/11/2020,00:24:11
2-,3G,0000.00,0,07/11/2020,00:24:13
4-,3G,0000.00,0,07/11/2020,00:24:18
3-,3G,0000.00,0,07/11/2020,00:24:20
2-,3G,0003.39,0,07/11/2020,00:24:22
4-,3G,0002.30,0,07/11/2020,00:24:27
3-,3G,0000.00,0,07/11/2020,00:24:29
2-,3G,0002.96,0,07/11/2020,00:24:31
4-,3G,0003.29,0,07/11/2020,00:24:36
3-,3G,0003.05,0,07/11/2020,00:24:38
2-,3G,0000.00,0,07/11/2020,00:24:40
4-,3G,0000.00,0,07/11/2020,00:24:45
3-,3G,0003.29,0,07/11/2020,00:24:47
2-,3G,0000.00,0,07/11/2020,00:24:49
4-,3G,0000.00,0,07/11/2020,00:24:54
3-,3G,0000.00,0,07/11/2020,00:24:56
2-,3G,0003.46,0,07/11/2020,00:24:58
4-,3G,0002.27,0,07/11/2020,00:25:03
3-,3G,0000.00,0,07/11/2020,00:25:05
2-,3G,0002.92,0,07/11/2020,00:25:07
4-,3G,0003.33,0,07/11/2020,00:25:12
3-,3G,0002.92,0,07/11/2020,00:25:14
2-,3G,0000.00,0,07/11/2020,00:25:16
4-,3G,0000.00,0,07/11/2020,00:25:21
3-,3G,0003.26,0,07/11/2020,00:25:23
2-,3G,0000.00,0,07/11/2020,00:25:25
4-,3G,0000.00,0,07/11/2020,00:25:30
3-,3G,0000.00,0,07/11/2020,00:25:32
2-,3G,0003.44,0,07/11/2020,00:25:34
4-,3G,0002.23,0,07/11/2020,00:25:39
3-,3G,0000.00,0,07/11/2020,00:25:41
2-,3G,0002.17,0,07/11/2020,00:25:43
4-,3G,0003.33,0,07/11/2020,00:25:48
3-,3G,0002.98,0,07/11/2020,00:25:50
2-,3G,0000.00,0,07/11/2020,00:25:52
4-,3G,0000.00,0,07/11/2020,00:25:57
3-,3G,0003.26,0,07/11/2020,00:25:59
2-,3G,0000.00,0,07/11/2020,00:26:01
4-,3G,0000.00,0,07/11/2020,00:26:06
3-,3G,0000.00,0,07/11/2020,00:26:08
2-,3G,0003.44,0,07/11/2020,00:26:10
4-,3G,0002.25,0,07/11/2020,00:26:15
3-,3G,0000.00,0,07/11/2020,00:26:17
2-,3G,0001.95,0,07/11/2020,00:26:19
4-,3G,0003.33,0,07/11/2020,00:26:24
3-,3G,0003.03,0,07/11/2020,00:26:26
2-,3G,0000.00,0,07/11/2020,00:26:28
